image_path,combined_text,avg_conf,Actual Taxon,Predicted Taxon,Lev Ratio Taxon,Actual Geography,Predicted Geo,Lev Ratio Geo,Actual Date,Predicted Date,Lev Ratio Date
5077516702.jpeg,"III UAE V 0338003 WI S} Proserpinaca pectinata Lamarck det. M. S. Alix & R. W. Scribailo April 2011 FNA Project Purdue University North Central PLANTAE EXSICCATAE GRAYANAE 251. Proserpinaca pectinata Lam. Illust. i. 214, t. 50, fig. 1 (1791); Morong, Bull. Torr. Club, xviii. 239; Schindler in Engl. Pflanzenr. iv. pt. 225, 76, fig. 22; Robinson & Fernald in Gray, Man. ed. 7, 605, fig. 814; Britton & Brown, II. Fl. ed. 2, ii. 613, fig. 3080. Syn. Proserpinaca pectinacea Torr. Fl. N. & Mid. U.S. i. 162 (1824). Myriophyllum fulvescens Bertol. Misc. Bot. xvi. 28, t. 1 (1856). eee Shallow bog-holes, Grassy Pond, Hopkinton, VHS TONSIN Rhode Island. STATE J. F. Connins, ‘ol. { a oy HERBARIUM Call: \M. L. Fernaxp. September 3, 1914. (wis)",73.33586382, Proserpinaca pectinata,Proserpinaca pectinata,0.9777777777777777," Grassy Pond, Hopkinton",Hopkinton,0.5625, 1914-09-03,1791,0.4
5067911119.jpeg,“TT A A 0 THE HERBERT E. SARGENT COLLECTION Gift of Brewster Academy HERBARIUM OF BREWSTER FREE ACADEMY. WY. §& 1 &—/é Collector HSA -,76.35192759, Lactuca serriola,Gift of,0.25, [no precise locality],[],0, 1916-08-18,[],0
4850289459.jpeg,"8 9. 40 copyright reserved wn salp G | Imaged ae ee a ee sii GIS HERBARIUM OF 63943 Willard Sherman Turrell Herbarium From the estate of Blanche Turrell in memory of her father, Miami Class of 1842 comprising The Herbarium of Oberlin College purchased in 1967 m = J tA), : 4a y PIED LZ fm / ‘) t a 2 2 - —7 Fa. % GET feOAttt 4 A112 7 li 4",47.92654286589372,,Imaged ae,0,,Miami,0,,8 9,0
1882649139.jpeg,"    4 10 3 USF Herbarium 6 7 8 9 2 5 pry ry ] 2 peepee Oin Ocm    HERBARIUM OF CHARLES FOSTER BATCHELDER 0 CQapidiu WL Se guide Lalas Drvenp. Peterboro, New Hampshire p4 13,5908. Shady weode Coll. C. F', Batchelder 136?",68.67496622693452, Coryphopteris simulata,Se guide,0.19354838709677424, Peterboro.,New Hampshire,0.25, 1908-07-13,"135,908",0.4444444444444444
5102793515.jpeg,"                                 ~ WASHINGTON STATE copyright reserved ee 2 | Marion Ownbey Herbarium (WS MA WS036902 Nabalus altissimus (L.) Hook. Det. by Walter Fertig February 2025 Marion Ownbey Herbarium, WA State University Oe va HERB. H. E. SARGENT. 4 th Ce ene | en Coan",67.24939305555556, Nabalus altissima,Nabalus altissimus,0.8888888888888888, Vicinity of Wolfeboro,WASHINGTON,0.25,1909,Feb-25,0.2222222222222222
1038918758.jpeg,"A} o e| 3 a 2 = 2 =| S a Q ° ai TT (Mn | j Ml Lect vA HERBARIUM OF YALE UNIVERSITY Coanx gromulanio Mull Ge numa Pond Wwuadawe, Noth B rampord, Com (uty 1,188 Um. R, Ouchoy =",42.890727997435896, Carex granularis,Coanx gromulanio,0.6060606060606061, Goshen Pond meadows,[],0, 1881-07-01,[],0
1038946733.jpeg,"10 9. 8 copyright reserved wii . wu.02es79 7 ” HERB, D. C. EATON. Habenarra Hookert, Torrey Westfield Woods, New Haven, Conn. Tune 7, 1465, Le",65.29332142901234, Platanthera hookeri,[],0, Westfield Woods,New Haven,0.16000000000000003, 1867-06-07,"7, 1465",0.33333333333333337
1038965012.jpeg,"ili 58 3 Yale University | AMI YU.047: Geyoria pollide (Tern) Trin. (fect Pod, far, Conn",54.85803881, Torreyochloa pallida,Geyoria pollide,0.5555555555555556, West Pond,Conn,0.2857142857142857,1876,58 3,0.2222222222222222
1038919124.jpeg,"3 3 4 5 3 2 = 2 | Q S 8 cticut Bot HU CBS.01342 Connecticut | Floray 2 Asplenium Trichomanes 1, eae ui Shaded ledges, Hartland, Conn., Sables : : June 21st, 1914 Collector C. H. Bissell.",64.64040601333333, Asplenium trichomanes,Shaded ledges,0.2857142857142857, Shaded ledges,Hartland,0.36363636363636365, 1914-06-21,1914,0.5333333333333333
1228308578.jpeg,"Li WU ee ees ‘ DET. F. J. Hermann. dow adele iv wheridiv, Onarige Co, UE CLL tO Leta ang. V1, Igeg",40.29105904395604, Juncus tenuis,Leta ang,0.18181818181818177, Orange,[],0, 1909-08-21,[],0
1038919093.jpeg,"copyright reserved Connecticut Botanical Society IATL CBS.08065 CAREX RADIATA (WAHLENB.) DEW. CONNECTICUT FLORA, TOWN OF SOUTHINGTON. PA HERBARIUM OF C. H. BISSELL COLLECTOR C. H. BISSELL.",73.77579028174604, Carex radiata,[],0, West river st,[],0, 1896-06-01,[],0
3965951366.jpeg,peasasai WYySUAdoo        ESSA 199 98Y910[0:    ¥ bbbcatadadsited table Su ebabo 2 i 3 O. Leonhard? Nossen i. S. Germania : F       Pe eS PPE ce Ase ESR i LTA,34.238745937500006, Aphyllon uniflorum,Su ebabo,0.2222222222222222," [label: O. Leonhardt, Nossen i. S. Germania. Berliner Botanischer Tauschverein] Flora v. North Easton",[],0, 1905-05,[],0
1039000656.jpeg,PLANTS FROM THE HERBARIUM OF RICHARD WILLIAM WOODWARD PRESENTED TO THE CONNECTICUT EQOTANICAL SOCIETY BY MRS. R. W. WOODWARD IN 1933 UM OFS <a ~ KE > CONNECTICUT be} ® c o a 2 = > > ry ° 3 ut Botan CONNECTICUT FLORA,59.96132280924909, Helianthus giganteus,[],0, border of salt marsh,[],0, 1902-09-05,1933,0.2666666666666667
1039020370.jpeg,"3 3 e 5 3 3 fe Fa cal £ 5 Qa) oO) Oo; Connecticut Botanical soci ii LTT CBS.06435 CONNECTICUT FLORA, TOWN OF SOUTHINGTON. ee down” SPECIES = ul ea COLLECTOR ©. H. BISSELL HERBARIUM OF C. H. BISSELL         ii il        CONNECTICUT & STANICAL soo HILO TN CBS.06436 CONNECTICUT FLORA, TOWN OF SOUTHINGTON. Y RE COLLECTOR ©. H. BISSELL    ",69.59622016717687, Luzula multiflora,Fa cal,0.25, roadside near Clarks Shops Milldale,Connecticut,0.21276595744680848, 1898-06-03,[],0
1262190966.jpeg,"10 copyright reserved The Field Museum (F ‘WMI AAA I Lupinus perennis L. Robert Dirig March 1989 L.H. BAILEY HORTORIUM, CORNELL UNIVERSITY (BH) 219204 ,) HERBARIUM OF WALTER DEANE, Il, WALTER DEANE,",74.19863903265306, Lupinus perennis,Lupinus perennis,0.9696969696969697, Needham,Lupinus,0.1333333333333333, 1884-06-07,219204,0.23529411764705888
1038964757.jpeg,"PLANTS OF CONNECTICUT No. 47 Family: Gramineae Name: Avena sativa L. Oats Locality: Meadow St, Branford small cinder pile in vacant lot next + O Feed Date Comments: Cinder pi aestivum sa Ya ey rum IO YU.047399",72.34762070092592, Avena sativa,Avena sativa,0.96," Meadow Street, small cinder pile in vacant lot next to Osborn's Feed & Grain store",Branford,0.13186813186813184, 1877-06,[],0
1038931432.jpeg,HERBARIUM OF YALE UNIVERSITY tefella ebm L ae wii SS = eee Moy (71917,49.23170097222222, Mitchella repens,[],0, ravine near the Farmington River,[],0, 1917-05-17,71917,0.5
1038930849.jpeg,Z 8 i) i} 3 3 a = o o @ $3 < o Q Re} °,60.38445872115385, Palustricodon aparinoides,[],0, Stepney,[],0, 1908-07-04,[],0
2270463903.jpeg,        133029 HERBARIUM ARIZONA STATE UNIVERSITY D Plants of Western Vermont. Carex 30 May 1897 communis Bailey Addison County MIDDLEBURY ee SENE,86.24350374305554, Carex communis,Plants of,0.25, Middlebury,[],0, 1897-05-30,30 May 1897,0.4545454545454546
1228185316.jpeg,"Hi | prbocadpens Mey TILA senehflads todrnorted A hegh nity No. 37 Be Col N. C.F SAGADAHOC COUNTY, MAINE Jemens",51.745543619047616, Juncus pelocarpus,[],0, estuary of the Cathance River,[],0, 1920-09-02,[],0
1986983095.jpeg,"            = Dry aca oe ze) Clarkson ce ‘a Flor of No fh Am a2: 288 ~ pay SN Plants of 44 mite SOUTHERN NEE 2W HAMPSHIRE “ae LAA aye AW murtLertio_l 0.€. ee INTERMOUNTAIN HERBARIU Jopof PACK MONADNOCK MT, HILLSBORO CO. i August 10, 1926 TEMPLE                                                                 Coll & Det. PF. G. seymour",77.68688956499288, Dryopteris campyloptera,Dry aca,0.3870967741935484, Top of Pack Monadnock Mountain,[],0, 1926-08-10,10-Aug-26,0.3846153846153846
